x,timestamps
1208,1762472467.639544
1209,1762472467.639544
1210,1762472467.639544
1211,1762472467.639544
1212,1762472467.639544
1213,1762472467.639544
1214,1762472467.639544
1215,1762472467.639544
1216,1762472467.639544
1217,1762472467.639544
1218,1762472467.639544
1219,1762472467.639544
1220,1762472467.639544
1221,1762472467.639544
1222,1762472467.639544
1223,1762472467.639544
1224,1762472467.639544
1225,1762472467.639544
1226,1762472467.639544
1227,1762472467.639544
1228,1762472467.639544
1229,1762472467.639544
1230,1762472467.639544
1231,1762472467.639544
1232,1762472467.639544
1233,1762472467.639544
1234,1762472467.639544
1235,1762472467.639544
1236,1762472467.639544
1237,1762472467.639544
1238,1762472467.639544
1239,1762472467.639544
1240,1762472467.639544
1241,1762472467.639544
1242,1762472467.639544
1243,1762472467.639544
1244,1762472467.639544
1245,1762472467.639544
1246,1762472467.639544
1247,1762472467.639544
1248,1762472467.639544
1249,1762472467.639544
1250,1762472467.639544
1251,1762472467.639544
1252,1762472467.639544
1253,1762472467.639544
1254,1762472467.639544
1255,1762472467.639544
1256,1762472467.639544
1257,1762472467.639544
1258,1762472467.639544
1259,1762472467.639544
